ID #,"Social Cluster (1-5, IC = isolated cluster)",Field assessment age class at time of biopsy,Sex (G),LABID,Biopsy #,Date of biopsy,Date first seen,Age class assessment when first seen,"Criteria for age class assessment when first seen (RS=relative size, M=markings, HS=head shape, LES=leading edge shape, Genetic Sex)",Gap b/t biopsies,"Parentage (G = genetics, P = photos)",Age from tooth sectioning,Year last seen (Year_sl),Year first seen (Year_s1),Year biopsied (Year_b),"Age based on age/sex classification when first seen (Age_C,s1)",Span of years between biopsy and first seen (Year_b - Year_s1),Span of years between last seen and biopsy (Year_sl - Year_b),Aux (see notes for justification),"Best age point estimate at time of sampling, estimated in 2022","Best age point estimate confidence rating (CR) (1=low, 5=high), estimated in 2022","Age based on one age/sex classification lower than that when first seen (Age_C-1,s1)","Separate minimum age Aux (if applicable, see notes for justification)","Minimum age point at time of sampling, estimated in 2022",Maximum age estimate rule based on best age confidence rating (Age_c_maxCR),"Maximum age point at time of sampling based on confidence rating rule, estimated in 2022","Maximum age point at time of sampling considering span of years between last seen and biopsy (Year_sl - Year_b), ADULTS ONLY",ADULT maximum age estimate: lowest of the two maximum age estimates (confidence rating OR last year seen),Confidence rating and Aux notes 2022,"Inclusion for epigenetic aging study (include, exclude, 2nd choice * = maybe?)","Tag, pair, stranding",Pair #,Included code for sum (1 or 0),Reason for inclusion/exclusion 2019,Notes,Sighting date used in tag site laser dot morphometrics study,Time difference between tag sighting and biopsy relative to tag date
HIPc132,1,No FA,Male,23317,RWB010204,2/28/01,5-Feb-99,Adult,"M,RS, LES, G-sex",,"Father of offspring HIPc281, HIPc367 (G)",,2013,1999,2001,15,2,12,8,25,3,9,,19,best + 20,45,53,45,"Sampled 2 years after first seen, no FA; first encounter photos indicate adult, then when sampled photos indicate individual is physically mature/older male (at least 25 years). Used this Aux information to support 25 year estimate when biopsied; sampled offspring (G) likely born after this ID was biopsied",Include,Tag,,1,"Based on parentage (father of offspring first seen as calves/juvs around 2005, 2008) and ",,10/22/10,3523
HIPc133,1,"Adult, no sex",Male,98738,RWB2010AUG11.05,8/11/10,4-Aug-99,Older Juvenile/Young Subadult?,"M, LES, G-sex",,,,2020,1999,2010,3,11,10,5,19,4,1,,17,best + 15,34,55,34,"Span of years seen, first seen as older juvenile/probable sub-adult; used juvenile age for Age C,s1 and added years to Aux to account for within age class distinction when first seen",Include,,,1,"Based on sightings history, relative size for sightings as 'probable adult', can likely be confident in this age/range",,NA,
HIPc149,2,No FA from PIFSC?,Male,49048,MAC20050807.27,8/7/05,30-Sep-02,Older Juvenile/Young Subadult?,"M, LES, G-sex",,,,2020,2002,2005,3,3,15,5,11,3,1,,9,best + 5,16,NA,NA,"No FA, but photos when first seen indicate likely older juvenile/young subadult, added years to Aux to account for this within age class distinction; limited sighting history; used sub-adult classification for max age estimate",Include,,,1,"confidence level, younger individual",,12/7/20,5601
HIPc151,2,"Adult, no sex",Male,30073,RWB300902.02,9/30/02,30-Sep-02,Older subadult/Young adult?,"M, LES, G-sex",,,,2019,2002,2002,15,0,17,0,15,2,9,,9,65,65,48,48,"FA as adult and photos indicate likely older sub-adult/young adult (not physically mature male), but no prior sighting history",Include,Pair,5,1,First of paired biopsy > 7yrs; first seen at time of this biopsy. Could be older.,,NA,
HIPc151,2,"Adult, no sex",Male,186435,OES171008.05s,10/8/17,30-Sep-02,Older subadult/Young adult?,"M, LES, G-sex",15 yrs,,,2019,2002,2017,15,15,2,0,30,3,9,,24,best + 20,50,63,50,"Span of years seen increased, photos indicated likely older subadult/younger adult when first seen, no sex classification in field",Include,Pair,5,1,Second of paired biopsy > 7yrs; see info for first biopsy. ,,NA,
HIPc155,3,No FA,Female,27453,RWB020501.05,5/1/02,1-May-02,Subadult/ Young Adult?,"M (1 photo, no FA)",,Mother of offspring of unknown ID (G); Mother of HIPc416 and HIPc842 (P),,2021,2002,2002,6,0,19,7,13,3,3,,10,best + 20,33,46,33,"Sampled first year seen/no prior history, mother of unk ID (G) so added years to Aux so that minimum age is 10 years/sexually mature; parentage from (P), offspring born after sampling",Include,Tag,,1,"First seen at time of biopsy, but based on size and limited scarring/markings, likely a younger adult.",,10/26/11,3465
HIPc162,3,Adult Male,Male,33906,RWB260503.A06,5/26/03,26-May-03,Adult (sub-A from tooth age est),"M, necropsy, tooth sectioning",,,,2013,2003,2003,15,0,10,-3,12,5,9,,6,best + 3,15,NA,NA,"FA as adult male (physically mature), but Aux based on back-calculation from age estimate from tooth sectioning, stranded animal (more precise). Age classification used for 15 year old adult male rather than physically mature adult male based on age tooth sectioning; max age using age class for best age (subadult)",Include,Pair,6,1,"First of paired biopsy > 7yrs. Age was estimated from necropsy, so are likely more precise",,NA,
HIPc162,3,Adult Male,Male,198473,KW2013018,10/6/13,26-May-03,Adult (sub-A from tooth age est),"M, necropsy, tooth sectioning",10 yrs,,22,2013,2003,2013,15,10,0,-3,22,5,9,,16,best + 10,32,65,32,"Age estimate from tooth sectioning, stranded animal (more precise); see notes for first biopsy sample",Include,Pair/stranding,6,1,"Second of paired biopsy > 7yrs. Age estimated from necropsy, so are likely more precise.",,NA,
HIPc164,3,"Adult, no sex",Male,33908,RWB260503.A08,5/26/03,26-May-03,SubAdult,"(FA=adult), M, LES, G-sex",,Offspring of mother HIPc157 (G),,2016,2003,2003,9,0,13,3,12,2,3,,6,best + 10,22,NA,NA,"FA as adult (no sex) and photos classified as sub-adult; FA could allude to adult-sized female or sub-adult sized male (ID here is male), so used sub-adult for Age C,s1 and added years to aux to balance adult FA",Include,Pair,7,1,First of paired biopsy > 7yrs; first seen at time of this biopsy. Could be older. Offspring of mother HIPc164.,"If this one doesn't work, replace with 45927",NA,
HIPc164,3,FA?,Male,198474,KW2016016,9/28/16,26-May-03,SubAdult,"(FA=adult), M, LES, G-sex",13 yrs; 12 yrs,Offspring of mother HIPc157 (G),?,2016,2003,2016,9,13,0,3,25,3,3,,19,best + 20,45,65,45,"No age from tooth sectioning available, but span of years increased; no FA, photos when first seen classified as sub-adult; FA when first seen could allude to adult-sized female or sub-adult sized male (ID here is male), so used sub-adult for Age C,s1 and added years to aux to balance adult FA",Include,Pair/stranding,7,1,Second of paired biopsy > 7yrs; see info for first biopsy. ,,NA,
HIPc168,3,"Adult (small), no sex",Female,102484,RWB2010OCT15.02,10/15/10,26-May-03,Young Adult,"FA, RS, M, LES, G-sex",~7.4 yrs,,,2010,2003,2010,10,7,0,0,17,2,6,,13,65,65,65,65,"Span of years seen increased, but high uncertainty in minimum age when first seen; FA indicated small size so could be younger adult",Include,Pair,8,1,Second of paired biopsy > 7yrs; see info for first biopsy,,NA,
HIPc168,3,"Adult, no sex",Female,33888,RWB260503.W11,5/26/03,26-May-03,Adult,"FA, RS, M",,,,2010,2003,2003,30,0,7,0,30,1,10,,10,65,65,58,58,"Sampled first year seen/no prior history, no parentage info, no within age class distinctions from photos",Include,Pair,8,1,"First of paired biopsy > 7yrs; sighting history, photos ",,NA,
HIPc169,3,"Adult, no sex",Male,33898,RWB260503.W21,5/26/03,26-May-03,Older subadult/Young adult?,"(FA=adult), M, LES, G-sex",,,,2013,2003,2003,15,0,10,0,15,2,9,,9,65,65,55,55,FA as adult (no sex) and photos classified as older subadult/younger adult (perhaps sexually mature but not physically) so used 15 year for Age C; no prior sighting history or other auxiliary info,Include,Tag,,1,"First seen at time of biopsy. Based on photos, likely younger adult. More confident in age range than point estimate.",,NA,
HIPc172,3,"Adult, no sex",Male,33893,RWB260503.W16,5/26/03,26-May-03,Older subadult/Young adult?,"(FA=adult), M, LES, G-sex",,,,2010,2003,2003,15,0,7,0,15,2,9,,9,65,65,58,58,FA as adult (no sex) and photos classified as older subadult/younger adult (perhaps sexually mature but not physically) so used 15 year for Age C; no prior sighting history or other auxiliary info,Include,Tag,,1,"First seen at time of biopsy, no parentage information.",,12/10/08,2025
HIPc173,3,"Adult, no sex",Female,45928,RWB130904.03 and .05,9/13/04,26-May-03,Adult,"RS, M, LES, G-sex",,Mother OR offspring of HIPc157 (G); Mother of HIPc407 and HIPc718 (P),,2021,2003,2004,10,1,17,11,22,2,9,-11,10,65,65,48,48,"Biopsied only 1 year after first seen, genetic parentage position (mother or offspring) not resolved, but if mother then would need to be at least 10 yrs older than HIPc157, who was seen as adult (female) in 2002 and known (G) to have had a calf before biopsied in 2003; given uncertainty in parentage position, minimum age set lower to sexually mature adult female age (10)",Include,Tag,,1,"Low confidence on age range and estimate, mother or offspring of HIPc157",Same animal biopsied twice during an encounter,12/11/10,2280
HIPc178,3,"Subadult, no sex",Male,45931,RWB130904.06,9/13/04,26-May-03,Juvenile,"FA, RS",1 yr,Offspring of mother HIPc158 (G),,2004,2003,2004,3,1,0,5,9,3,1,,7,best + 5,14,NA,NA,"First seen as juvenile, then biopsied again 1 year later and FA subadult, both FA, aux years added to shift best estimate closer to FA age classification at time of sampling; only seen twice",Include,,,1,"Younger individual, and more confident in age range/estimate. Offspring of HIPc158.",,NA,
HIPc179,1,"Adult, no sex",Male,75660,RWB2008JUL16.01,7/16/08,5-Feb-99,Younger subadult,"LES, G-sex",,,,2011,1999,2008,9,9,3,0,18,4,3,,12,best + 15,33,62,33,"Photos when first seen suggest was younger sub-adult, then 4 years later older subadult/younger adult; FA at sampling adult (no sex) which affirms not physically mature adult male but very likely sexually mature",Include,Tag,,1,confidence level; mid-aged individual or could be older,,7/16/08,0
HIPc181,1,Adult Male,Male,132660,RWB2011AUG25.03,8/25/11,5-Jun-98,Older subadult,"RS, M, LES, G-sex",,,,2021,1998,2011,9,13,10,5,27,4,3,,21,best + 15,42,55,42,"Span of years since first seen, first seen as older subadult from photos (used subadult age C and added years to Aux to account for within age class distinction), FA as adult male (physically mature) at sampling and best age estimate aligns with this (27 years)",Include,,,1,"higher confidence, could be older given POP levels, unless lower birth order.",,NA,
HIPc190,3,No FA from PIFSC?,Female,187739,"LSK171117.01s, LSK171117.02s",11/17/17,6-Oct-04,Adult,"FA, M, LES, G-sex",13 yrs ,,,2021,2004,2017,10,13,4,0,23,2,6,,19,65,65,61,61,"Span of years since first seen increased, no genetic parentage info to date, could be older but no auxiliary info to better inform age est",Include,Pair,9,1,Second of paired biopsy > 7yrs; see info for first biopsy. ,Same animal biopsied twice during an encounter,NA,
HIPc190,3,"Adult, no sex",Female,45921,RWB061004.01,10/6/04,6-Oct-04,Adult,"FA, M, LES, G-sex",,,,2021,2004,2004,30,0,17,0,30,1,10,,10,65,65,48,48,"Sampled when first seen as adult, no prior history, no genetic parentage info to date, could be older",Include,Pair,9,1,"First of paired biopsy > 7yrs; is listed as mom of HIPc570, but calf hasn't been seen since the one encounter in 2009. ",,NA,
HIPc193,3,No FA,Female,27455,RWB020501.07,5/1/02,1-May-02,Young adult?,"(no FA), M, LES, G-sex ",,"Offspring of mother HIPc199 and father unknown ID (G); possible mom of HIPc577, HIPc916 (P)",,2021,2002,2002,10,0,19,0,10,2,6,,6,65,65,46,46,"No FA and sample from first sighting, but next year when sampled was FA'd as an adult; photos indicate it was likely a younger adult, so confidence rating = 2, not 1; presumed offspring from (P) likely born several years after sampling",Include,,,1,"Offpsring of HIPc199, who would have been 16 at the time of this biopsy (see biopsy info for HIPc199). Photos also suggest younger adult.",,10/9/16,5275
HIPc196,2,No FA from PIFSC?,Male,49050,MAC20050807.29,8/7/05,8-Dec-04,Subadult,"M, LES, G-sex",,,,2016,2004,2005,9,1,11,0,10,3,3,,4,best + 5,15,NA,NA,"No FA and limited history prior to biopsy, but FA'd as adult in 2015. Most of sightings leading up to 2015 were probable sub-adult, so likely younger individual",Include,Tag,,1,Seen as probable subadult 2004-2011. Possible for animal to be a bit older. More confident in age range than estimate.,,6/6/15,3590
HIPc197,2,"Adult, no sex",Male,45925,RWB081204.01,12/8/04,2-Oct-86,Young subadult?,"M, RS, LES, G-sex",,,,2019,1986,2004,9,18,15,0,27,4,3,,21,best + 15,42,50,42,"No FA when first seen, but photos indicate was younger subadult when first seen and high span of years since first seen lend higher confidence; FA'd as adult male in next 2 year biopsy indicating physical maturity and best age estimate here aligns with that (27 years)",Include,,,0,"First seen as adult in 1986, so at least born 1980 or before. Possible is older than this. ",,NA,
HIPc197,2,Adult Male,Male,61425,RWB2006NOV16.01,11/16/06,2-Oct-86,Young subadult?,"M, RS, LES, G-sex",2 yrs,,,2019,1986,2006,9,20,13,0,29,4,3,,23,best + 15,44,52,44,"No FA when first seen, but photos indicate was younger subadult when first seen and high span of years since first seen lend higher confidence; FA'd as adult male indicating physical maturity and best age estimate here aligns with that (29 years)",Include,,,1,"2nd biopsy for this animal, only 2yrs apart. ",,NA,
HIPc198,3,Adult from datasheet,Female,160208,KW2015015,11/7/15,3-Dec-04,Adult,"M, LES, G-sex",,,?,2015,2004,2015,10,11,0,0,21,5,6,,17,best + 10,31,65,31,"Probable adult when first seen, span of years, age from tooth sectioning not in catalog? Stranded, if this age tooth sectioning is correct then high confidence",Include,Stranding,,1,Seen as probable adult 2004-2011. Stranded in 2015. High POP levels suggest younger adult/nulliparous female. ,,NA,
HIPc199,3,Adult from datasheet,Female,123188,KW2010019,11/27/10,3-Dec-04,Adult (18 years),"M, HS, LES, G-sex, tooth sectioning",,Mom of HIPc193 (G),24,2010,2004,2010,10,6,0,8,24,5,6,,20,best + 10,34,65,34,"Adult when first seen, span of years, age from tooth sectioning used as best estimate (added years to aux to meet estimate), Aux years also align with plausible age of offspring from (G)",Include,Stranding,,1,"Aged from necropsy, so likely more precise. ",,NA,
HIPc200,3,"Adult, no sex",Male,102485,RWB2010OCT15.03,10/15/10,3-Dec-04,Adult,"M, RS, LES, G-sex",,,,2010,2004,2010,15,6,0,0,21,2,9,,15,65,65,65,65,"6 year span between first seen and biopsy date, but limited auxiliary info to indicate within age class distinction. FA at biopsy did not include sex classification, so could be younger adult male",Include,Tag,,1,"First two sightings (2004, 2008) seen as probable subadult. ",,NA,
HIPc202,1,Adult Male,Male,175874,RWB2016OCT19.01,10/19/16,18-Feb-05,Older Juvenile/Young subadult?,"RS, M, LES, G-sex",,,,2021,2005,2016,3,11,5,5,19,4,1,,17,best + 15,34,60,34,"Span of years seen, first seen as younger individual (older juv/young adult) so added years to Aux to account for within age class distinction, and then assessed in field as adult male at time of biopsy, so calculated age estimate near the 25 year physically mature range",Include,Tag,,1,First seen in 2005 as adult male based on overhanging jaw. Age estimate based on sighting history but could be older.,,7/16/08,-3017
HIPc203,1,"Adult, no sex",Female,98736,RWB2010Aug11.03,8/11/10,21-Jan-04,Older subadult/Young Adult,"M, RS, LES, G-sex",,Offspring of father HIPc163 (G); mom of HIPc913 (P),,2021,2004,2010,6,6,11,3,15,3,3,,12,best + 20,35,54,35,"First seen as older subadult/younger adult so added years  to Aux to account for within age class distinction; moderate span of years seen; genetic parentage but this ID in offspring position, parentage from photo-ID but offspring born after sampling",Include,,,1,"Sighting history, seen as probable adult 2004-2010. ",,NA,
HIPc204,5,"Adult, no sex",Male,98734,RWB2010AUG11.01,8/11/10,18-Aug-02,Older subadult,"M, LES, G-sex",,,,2020,2002,2010,9,8,10,5,22,4,3,,16,best + 15,37,55,38,"First seen as older subadult adult so added years  to Aux to account for within age class distinction; moderate span of years seen; span of years; FA at biopsy did not include sex classification, and best age calculated is near typical age of physically mature males, so could be a bit younger",Include,Tag,,1,"Confidence based on sighting history, seen as probable subadult 2005 and 2007.",,12/11/10,122
HIPc205,1,Adult Female (from datasheet),Male,102500,RWB2010OCT22.01,10/22/10,28-Feb-01,Probable juvenile,"M, RS, G-sex",,Offspring of father unknown (G),,2021,2001,2010,3,9,11,0,12,4,1,,10,best + 3,15,NA,NA,"First seen as probable juvenile, then FA'd as adult female at time of biopsy - genetic sex is male and so was adult-female sized which overlaps with size of sub-adult males and young adult males, so high confidence this is older subadult or younger adult; span of years seen",Include,Tag,,1,"Sighting history, seen as probable juvenile 2001-2004, then subadult 2005-2007",,8/1/2008; 7/26/2008; 10/10/2016,-812; -818; 2180
HIPc207,2,"Adult, no sex",Male,98746,RWB2010AUG14.07,8/14/10,22-Aug-86,Older juvenile/young subadult,"M, LES, G-sex",,Offspring of mother HIPc221 and father HIPc210 (G),,2010,1986,2010,3,24,0,5,32,4,1,,30,best + 15,47,65,47,"First seen in 1986 as older juvenile/young subadult (added years to Aux to account for within age class distinction), FA'd as adult when sampled; span of years seen",Include,,,1,"Sighting history, seen as probable juvenile in 1986. Could be a bit older or younger, more confident in age range than estimate.",,NA,
HIPc208,1,No FA,Female,23321,RWB010208,2/28/01,18-Feb-99,Older subadult/Young Adult,"M, LES, G-sex",,"Mother of HIPc363, HIPc717 (P)",,2021,1999,2001,6,2,20,3,11,3,3,,8,best + 20,31,45,31,"Limited sighting history prior to biopsy, first seen as older subadult/young adult; parentage inferred from (P) but presumed offspring were likely born several years after sampling",Include,Tag,,1,No previous sightings history. Seen with neonate post-biopsy.,,11/25/2013; 10/21/2013,4653; 4618
HIPc210,1,No FA,Male,23316,RWB010203,2/28/01,28-Feb-01,Adult if looking at parentage but morphology suggests younger subadult/older Juvenile,"parentage (adult), leading edge shape (older Juvenile/younger subadult), G-sex, M = subadult or adult, could be stunted?",,Father of offspring HIPc207 (G),,2021,2001,2001,3,0,20,35,38,1,1,-30,6,65,65,45,45,"Low confidence due to conflicting evidence between genetic parentage (what estimate is based on) and what photos and FA indicate; morphology and FA suggest animal is young at sampling, but genetic parentage indicates must be much older as offpsring was first seen in 1986 as juvenile/subadult. Aux years for best were added to meet age at sexual maturity at plausible birth year of offspring HIPc207, and separate Aux years for minimum age in case genetic parentage assignment is ambiguous",Include,Pair,10,1,"First of paired biopsy > 7yrs. Father of offspring HIPc207, who was first documented in 1986.",,NA,
HIPc210,1,"Adult, no sex",Male,91286,RWB2009Dec18.05,12/18/09,28-Feb-01,Adult if looking at parentage but morphology suggests younger subadult/older Juvenile,"parentage (adult), leading edge shape (older Juvenile/younger subadult), G-sex, M = subadult or adult, could be stunted?",8 yrs,Father of offspring HIPc207 (G),,2021,2001,2009,3,8,12,35,46,2,1,-30,14,65,65,53,53,"Span of years increased since first biopsy; morphology suggest animal is young at sampling, but genetic parentage indicates must be much older as offpsring was first seen in 1986 as juvenile/subadult. Aux years for best were added to meet age at sexual maturity at plausible birth year of offspring HIPc207, and separate Aux years for minimum age in case genetic parentage assignment is ambiguous",Include,Pair,10,1,Second of paired biopsy > 7yrs. See info for first biopsy. ,,NA,
HIPc211,2,Adult Male,Male,132641,RWB2011AUG20.11,8/20/11,3-Mar-05,Adult,"M, RS",,,,2011,2005,2011,15,6,0,0,21,3,9,,15,best + 20,41,65,41,"FA'd as adult male at sampling, so best age calculation of 21 years aligns well, although low-moderate span of years seen prior to biopsy and no within age class distinction when first seen",Include,,,1,"Seen as probable adult (2005, 2006); Could be older provided POP levels, or just first born.",,NA,
HIPc214,1,"Subadult, no sex",Female,75676,RWB2008JUL26.01,7/26/08,3-Mar-05,Probable subadult,"M, RS",,"Offspring of mother HIPc212 (G); Mom of HIPc641, HIPc917 (P)",,2021,2005,2008,6,3,13,0,9,4,3,,6,best + 3,12,NA,NA,"First seen as probable sub-adult, then FA 3 years later was also subadult. Confirming age class assessments for younger individual drive confidence rating, as span of years seen is lower; info on presumed parentage from (P) but presumed calves born several years after biopsy",Include,,,1,Seen as probable subadult 2005-2007. Confidence based on sighting history and parentage info (offspring of mother HIPc212).,,NA,
